,filename,xmin,ymin,xmax,ymax
0,bananas ds/median/100.png,94,59,164,129
1,bananas ds/median/120.png,83,46,153,116
2,bananas ds/median/140.png,56,144,126,214
3,bananas ds/median/160.png,144,74,214,144
4,bananas ds/median/180.png,88,91,158,161
5,bananas ds/median/200.png,70,94,140,164
6,bananas ds/median/220.png,95,66,165,136
7,bananas ds/median/240.png,122,61,192,131
8,bananas ds/median/260.png,77,66,147,136
9,bananas ds/median/280.png,104,93,174,163
10,bananas ds/median/300.png,75,82,145,152
11,bananas ds/median/320.png,81,77,151,147
12,bananas ds/median/340.png,68,105,138,175
13,bananas ds/median/360.png,108,82,178,152
14,bananas ds/median/380.png,94,137,164,207
15,bananas ds/median/400.png,59,58,129,128
16,bananas ds/median/420.png,71,122,141,192
17,bananas ds/median/440.png,96,96,166,166
18,bananas ds/median/460.png,76,51,146,121
19,bananas ds/median/480.png,95,71,165,141
20,bananas ds/median/500.png,93,89,163,159
21,bananas ds/median/520.png,99,67,169,137
22,bananas ds/median/540.png,74,67,144,137
23,bananas ds/median/560.png,98,112,168,182
24,bananas ds/median/580.png,112,80,182,150
25,bananas ds/median/600.png,76,51,146,121
26,bananas ds/median/620.png,77,120,147,190
27,bananas ds/median/640.png,84,110,154,180
28,bananas ds/median/660.png,94,94,164,164
29,bananas ds/median/680.png,75,67,145,137
30,bananas ds/median/700.png,95,90,165,160
31,bananas ds/median/720.png,112,60,182,130
32,bananas ds/median/740.png,104,88,174,158
33,bananas ds/median/760.png,66,46,136,116
34,bananas ds/median/780.png,118,48,188,118
35,bananas ds/median/800.png,113,81,183,151
36,bananas ds/median/820.png,136,96,206,166
37,bananas ds/median/840.png,93,126,163,196
38,bananas ds/median/860.png,113,73,183,143
39,bananas ds/median/880.png,93,143,163,213
40,bananas ds/median/900.png,90,99,160,169
41,bananas ds/median/920.png,125,100,195,170
42,bananas ds/median/940.png,66,102,136,172
43,bananas ds/median/960.png,91,90,161,160
44,bananas ds/median/980.png,65,154,135,224
