,filename,xmin,ymin,xmax,ymax
0,bananas ds/dispersion/100.png,68,70,190,118
1,bananas ds/dispersion/120.png,72,49,164,113
2,bananas ds/dispersion/140.png,40,152,142,206
3,bananas ds/dispersion/160.png,130,58,228,160
4,bananas ds/dispersion/180.png,69,71,177,181
5,bananas ds/dispersion/200.png,47,70,163,188
6,bananas ds/dispersion/220.png,77,58,183,144
7,bananas ds/dispersion/240.png,126,43,188,149
8,bananas ds/dispersion/260.png,74,34,150,168
9,bananas ds/dispersion/280.png,87,78,191,178
10,bananas ds/dispersion/300.png,61,79,159,155
11,bananas ds/dispersion/320.png,68,70,164,154
12,bananas ds/dispersion/340.png,62,93,144,187
13,bananas ds/dispersion/360.png,91,62,195,172
14,bananas ds/dispersion/380.png,63,125,195,219
15,bananas ds/dispersion/400.png,45,54,143,132
16,bananas ds/dispersion/420.png,68,135,144,179
17,bananas ds/dispersion/440.png,78,87,184,175
18,bananas ds/dispersion/460.png,60,53,162,119
19,bananas ds/dispersion/480.png,61,51,199,161
20,bananas ds/dispersion/500.png,79,85,177,163
21,bananas ds/dispersion/520.png,77,44,191,160
22,bananas ds/dispersion/540.png,66,55,152,149
23,bananas ds/dispersion/560.png,77,106,189,188
24,bananas ds/dispersion/580.png,93,64,201,166
25,bananas ds/dispersion/600.png,56,43,166,129
26,bananas ds/dispersion/620.png,64,123,160,187
27,bananas ds/dispersion/640.png,62,84,176,206
28,bananas ds/dispersion/660.png,92,72,166,186
29,bananas ds/dispersion/680.png,62,62,158,142
30,bananas ds/dispersion/700.png,99,63,161,187
31,bananas ds/dispersion/720.png,90,58,204,132
32,bananas ds/dispersion/740.png,85,62,193,184
33,bananas ds/dispersion/760.png,71,38,131,124
34,bananas ds/dispersion/780.png,131,49,175,117
35,bananas ds/dispersion/800.png,104,73,192,159
36,bananas ds/dispersion/820.png,136,104,206,158
37,bananas ds/dispersion/840.png,82,110,174,212
38,bananas ds/dispersion/860.png,86,63,210,153
39,bananas ds/dispersion/880.png,94,146,162,210
40,bananas ds/dispersion/900.png,74,72,176,196
41,bananas ds/dispersion/920.png,105,89,215,181
42,bananas ds/dispersion/940.png,53,100,149,174
43,bananas ds/dispersion/960.png,59,60,193,190
44,bananas ds/dispersion/980.png,54,144,146,234
