,filename,xmin,ymin,xmax,ymax
0,bananas ds/non_min/100.png,80,91,140,151
1,bananas ds/non_min/120.png,55,30,115,90
2,bananas ds/non_min/140.png,2,141,62,201
3,bananas ds/non_min/160.png,176,32,236,92
4,bananas ds/non_min/180.png,120,25,180,85
5,bananas ds/non_min/200.png,13,111,73,171
6,bananas ds/non_min/220.png,152,8,212,68
7,bananas ds/non_min/240.png,136,38,196,98
8,bananas ds/non_min/260.png,68,4,128,64
9,bananas ds/non_min/280.png,194,160,254,220
10,bananas ds/non_min/300.png,155,108,215,168
11,bananas ds/non_min/320.png,41,85,101,145
12,bananas ds/non_min/340.png,113,41,173,101
13,bananas ds/non_min/360.png,127,54,187,114
14,bananas ds/non_min/380.png,173,159,233,219
15,bananas ds/non_min/400.png,38,34,98,94
16,bananas ds/non_min/420.png,59,127,119,187
17,bananas ds/non_min/440.png,80,59,140,119
18,bananas ds/non_min/460.png,109,42,169,102
19,bananas ds/non_min/480.png,138,89,198,149
20,bananas ds/non_min/500.png,123,87,183,147
21,bananas ds/non_min/520.png,16,101,76,161
22,bananas ds/non_min/540.png,61,82,121,142
23,bananas ds/non_min/560.png,112,110,172,170
24,bananas ds/non_min/580.png,127,29,187,89
25,bananas ds/non_min/600.png,50,83,110,143
26,bananas ds/non_min/620.png,120,147,180,207
27,bananas ds/non_min/640.png,10,127,70,187
28,bananas ds/non_min/660.png,43,168,103,228
29,bananas ds/non_min/680.png,29,61,89,121
30,bananas ds/non_min/700.png,122,143,182,203
31,bananas ds/non_min/720.png,152,93,212,153
32,bananas ds/non_min/740.png,60,50,120,110
33,bananas ds/non_min/760.png,110,22,170,82
34,bananas ds/non_min/780.png,113,54,173,114
35,bananas ds/non_min/800.png,167,37,227,97
36,bananas ds/non_min/820.png,146,102,206,162
37,bananas ds/non_min/840.png,110,154,170,214
38,bananas ds/non_min/860.png,152,28,212,88
39,bananas ds/non_min/880.png,89,194,149,254
40,bananas ds/non_min/900.png,132,176,192,236
41,bananas ds/non_min/920.png,164,79,224,139
42,bananas ds/non_min/940.png,27,109,87,169
43,bananas ds/non_min/960.png,64,97,124,157
44,bananas ds/non_min/980.png,24,185,84,245
